college,province,year,type,batch,class,min,min_rank,batch_min,gap
河北轨道运输职业技术学院,河南,2020,理科,专科批,普通类,229,439768,180,49
河北轨道运输职业技术学院,河南,2018,理科,专科批,普通类,249,377424,200,49
河北轨道运输职业技术学院,河南,2017,理科,专科批,普通类,274,323982,180,94
河北轨道运输职业技术学院,河南,2016,理科,专科批,普通类,250,347799,180,70
河北轨道运输职业技术学院,河南,2015,理科,专科批,普通类,180,0,-,-
厦门大学,河南,2021,理科,本科一批,普通类,649,4632,518,131
厦门大学,河南,2021,理科,本科一批,医护类,627,11294,518,109
厦门大学,河南,2021,理科,本科一批,异地校区,575,46947,518,57
厦门大学,河南,2020,理科,本科一批,普通类,662,5463,544,118
厦门大学,河南,2019,理科,本科一批,普通类,631,5104,502,129
厦门大学,河南,2018,理科,本科一批,普通类,637,4531,499,138
厦门大学,河南,2017,理科,本科一批,普通类,612,4523,484,128
厦门大学,河南,2017,理科,本科一批,中外合作办学,595,8526,484,111
厦门大学,河南,2017,理科,本科一批,医学类,569,18265,484,85
厦门大学,河南,2016,理科,本科一批,普通类,636,3860,523,113
厦门大学,河南,2016,理科,本科一批,高收费专业,617,8536,523,94
厦门大学,河南,2016,理科,本科一批,医护类专业,575,27849,523,52
厦门大学,河南,2015,理科,本科一批,普通类,626,4036,529,97
厦门大学,河南,2015,理科,本科一批,高收费专业,600,10915,529,71
厦门大学,河南,2015,理科,本科一批,医护类专业,555,36139,529,26
四川大学,河南,2021,理科,本科一批,普通类,642,6374,518,124
四川大学,河南,2021,理科,本科一批,高收费专业,621,13845,518,103
四川大学,河南,2021,理科,本科一批,医护类,597,28109,518,79
四川大学,河南,2020,理科,本科一批,普通类,659,6356,544,115
四川大学,河南,2020,理科,本科一批,高收费专业,638,15517,544,94
四川大学,河南,2020,理科,本科一批,医护类专业,601,43222,544,57
四川大学,河南,2019,理科,本科一批,普通类,624,6877,502,122
四川大学,河南,2019,理科,本科一批,护理学,585,24522,502,83
四川大学,河南,2018,理科,本科一批,普通类,632,5559,499,133
四川大学,河南,2018,理科,本科一批,护理类,583,25200,499,84
四川大学,河南,2017,理科,本科一批,普通类,602,6655,484,118
四川大学,河南,2017,理科,本科一批,护理类,555,25533,484,71
四川大学,河南,2016,理科,本科一批,普通类,624,6585,523,101
四川大学,河南,2016,理科,本科一批,医护类专业,577,26585,523,54
四川大学,河南,2015,理科,本科一批,普通类,612,7172,529,83
四川大学,河南,2015,理科,本科一批,医护类专业,563,30373,529,34
武汉大学,河南,2021,理科,本科一批,普通类,654,3618,518,136
武汉大学,河南,2021,理科,本科一批,其他单列,624,12534,518,106
武汉大学,河南,2021,理科,本科一批,医护类,604,23232,518,86
武汉大学,河南,2020,理科,本科一批,普通类,666,4347,544,122
武汉大学,河南,2020,理科,本科一批,其他单列,653,8491,544,109
武汉大学,河南,2020,理科,本科一批,医护类专业,622,25751,544,78
武汉大学,河南,2019,理科,本科一批,普通类,635,4241,502,133
武汉大学,河南,2019,理科,本科一批,中外合作办学,627,6047,502,125
武汉大学,河南,2019,理科,本科一批,专业志愿,577,29841,502,75
武汉大学,河南,2018,理科,本科一批,普通类,643,3421,499,144
武汉大学,河南,2017,理科,本科一批,普通类,572,16897,484,88
武汉大学,河南,2016,理科,本科一批,普通类,639,3313,523,116
武汉大学,河南,2016,理科,本科一批,高收费专业,628,5597,523,105
武汉大学,河南,2016,理科,本科一批,医护类专业,585,21975,523,62
