,mark,2021,2020,2019,2018,2017,2016,2015
0,715.0,0,11.0,0.0,0.0,0.0,0,0
1,714.0,0,16.0,0.0,0.0,0.0,0,0
2,713.0,0,18.0,0.0,0.0,0.0,0,0
3,712.0,0,20.0,0.0,0.0,0.0,0,0
4,711.0,0,22.0,0.0,0.0,0.0,0,0
5,710.0,0,27.0,0.0,0.0,0.0,0,0
6,709.0,0,37.0,0.0,0.0,0.0,0,0
7,708.0,15.0,45.0,0.0,0.0,0.0,0,0
8,707.0,18.0,54.0,0.0,0.0,0.0,0,0
9,706.0,20.0,65.0,0.0,0.0,0.0,0,0
10,705.0,26.0,79.0,0.0,0.0,0.0,0,0
11,704.0,33.0,87.0,0.0,0.0,0.0,0,1
12,703.0,39.0,107.0,0.0,0.0,0.0,0,4
13,702.0,49.0,126.0,0.0,0.0,0.0,0,5
14,701.0,59.0,151.0,0.0,0.0,0.0,0,6
15,700.0,68.0,169.0,0.0,12.0,0.0,5,7
16,699.0,83.0,197.0,0.0,14.0,0.0,6,8
17,698.0,97.0,235.0,0.0,15.0,0.0,7,9
18,697.0,111.0,268.0,11.0,20.0,0.0,7,11
19,696.0,122.0,298.0,13.0,30.0,0.0,8,13
20,695.0,143.0,335.0,16.0,32.0,3.0,12,15
21,694.0,159.0,376.0,21.0,37.0,4.0,15,19
22,693.0,179.0,443.0,26.0,46.0,4.0,24,21
23,692.0,203.0,491.0,30.0,53.0,5.0,26,23
24,691.0,227.0,556.0,32.0,59.0,6.0,29,29
25,690.0,255.0,627.0,37.0,67.0,7.0,32,32
26,689.0,286.0,705.0,45.0,76.0,8.0,36,35
27,688.0,315.0,774.0,48.0,88.0,10.0,42,40
28,687.0,348.0,848.0,53.0,95.0,10.0,54,47
29,686.0,383.0,953.0,66.0,109.0,11.0,61,55
30,685.0,426.0,1036.0,83.0,123.0,14.0,76,66
31,684.0,472.0,1159.0,96.0,140.0,14.0,84,72
32,683.0,513.0,1272.0,112.0,160.0,15.0,97,77
33,682.0,551.0,1377.0,121.0,182.0,20.0,113,88
34,681.0,604.0,1521.0,142.0,207.0,22.0,129,99
35,680.0,659.0,1660.0,157.0,230.0,28.0,150,114
36,679.0,716.0,1784.0,173.0,259.0,37.0,169,131
37,678.0,774.0,1919.0,194.0,284.0,44.0,194,153
38,677.0,836.0,2065.0,220.0,319.0,52.0,206,169
39,676.0,902.0,2213.0,248.0,354.0,60.0,232,182
40,675.0,982.0,2370.0,271.0,389.0,71.0,252,208
41,674.0,1046.0,2546.0,296.0,431.0,79.0,279,225
42,673.0,1115.0,2742.0,331.0,470.0,89.0,314,243
43,672.0,1184.0,2936.0,364.0,517.0,103.0,340,269
44,671.0,1290.0,3152.0,414.0,564.0,112.0,374,304
45,670.0,1390.0,3375.0,455.0,610.0,125.0,417,340
46,669.0,1500.0,3612.0,496.0,664.0,138.0,451,367
47,668.0,1606.0,3845.0,527.0,728.0,149.0,486,404
48,667.0,1730.0,4082.0,574.0,794.0,164.0,538,436
49,666.0,1839.0,4347.0,612.0,854.0,181.0,590,484
50,665.0,1945.0,4594.0,660.0,933.0,206.0,642,530
51,664.0,2055.0,4878.0,723.0,1006.0,220.0,697,584
52,663.0,2171.0,5152.0,781.0,1080.0,234.0,735,627
53,662.0,2315.0,5463.0,839.0,1146.0,252.0,790,667
54,661.0,2447.0,5753.0,893.0,1220.0,277.0,856,718
55,660.0,2582.0,6046.0,970.0,1302.0,298.0,934,761
56,659.0,2750.0,6356.0,1032.0,1386.0,313.0,1016,814
