,2021rank,name,省市,学校类型,总得分,Unnamed: 0,batch,2021,2020,2019,2018,2017,2016,2015
0,1,清华大学,北京,综合,969.2,695,本科一批,83,87,83,88,89,76,72
1,2,北京大学,北京,综合,855.3,41,本科一批,111,107,96,95,103,84,77
2,3,浙江大学,浙江,综合,768.7,1117,本科一批,383,556,496,431,526,486,530
3,4,上海交通大学,上海,综合,723.4,782,本科一批,203,197,194,207,336,150,169
4,5,南京大学,江苏,综合,654.8,607,本科一批,836,705,781,664,730,856,994
5,6,复旦大学,上海,综合,649.7,167,本科一批,227,298,173,230,417,232,243
6,7,中国科学技术大学,安徽,理工,577,1159,本科一批,716,627,574,564,776,735,761
7,8,华中科技大学,湖北,综合,574.3,436,本科一批,2928,3612,3641,3598,4032,3860,4036
8,9,武汉大学,湖北,综合,567.9,928,本科一批,3618,4347,4241,3421,16897,3313,3346
9,10,西安交通大学,陕西,综合,537.9,960,本科一批,2928,2546,2783,1863,2030,2018,1912
10,11,哈尔滨工业大学,黑龙江,理工,522.6,253,本科一批,3232,3375,4651,6498,3028,2827,2379
11,12,中山大学,广东,综合,519.3,1187,本科一批,5586,7026,5342,3421,3873,3682,4234
13,14,四川大学,四川,综合,516.6,838,本科一批,6374,6356,6877,5559,6655,6585,7172
14,15,北京航空航天大学,北京,理工,513.8,50,本科一批,1046,1159,1275,1146,4722,1148,1200
15,16,同济大学,上海,理工,508.3,903,本科一批,1730,1521,1275,1386,1417,1498,1368
16,17,东南大学,江苏,综合,488.1,142,本科一批,4219,4347,4651,3960,4346,4259,4234
17,18,中国人民大学,北京,综合,487.8,1170,本科一批,1290,848,1115,794,889,790,814
18,19,北京理工大学,北京,理工,474,56,本科一批,2055,2065,2638,2928,3561,3138,3195
19,20,南开大学,天津,综合,465.3,631,本科一批,1945,1919,2358,1570,1684,1714,1623
20,21,山东大学,山东,综合,447,716,本科一批,7501,7724,8715,8141,10654,7409,6917
21,22,天津大学,天津,理工,444.3,880,本科一批,4022,4594,4436,4329,4917,4654,4234
22,23,中南大学,湖南,综合,442.2,1183,本科一批,9454,34290,7166,6759,7688,7409,7172
23,24,吉林大学,吉林,综合,435.7,454,本科一批,11699,11437,10464,11400,15197,10460,10915
24,25,西北工业大学,陕西,理工,430.5,980,本科一批,5586,6356,7457,6000,6157,5827,6391
25,26,厦门大学,福建,综合,427.8,708,本科一批,4632,5463,5104,4531,4523,3860,4036
26,27,华南理工大学,广东,理工,419.8,431,本科一批,5865,7026,5572,4531,4917,4654,4623
27,28,大连理工大学,辽宁,理工,418.2,116,本科一批,9067,9274,8715,7555,8813,6071,6391
28,29,华东师范大学,上海,师范,401.8,429,本科一批,4428,6046,5572,5348,5925,6071,7172
29,30,中国农业大学,北京,农业,400.4,1169,本科一批,11294,12396,22024,13715,10306,9806,10560
30,31,电子科技大学,四川,理工,398.8,127,本科一批,4219,4594,4877,5348,6409,6071,7172
31,32,湖南大学,湖南,综合,393.5,391,本科一批,9067,9653,11615,8451,8250,7971,8350
32,33,北京科技大学,北京,理工,379.4,54,本科一批,12135,11437,10848,10013,9372,8536,8640
33,34,重庆大学,重庆,综合,365.5,1196,本科一批,7791,8089,7757,6996,7688,7409,8065
34,35,南京航空航天大学,江苏,理工,358.6,611,本科一批,11294,12897,27764,9681,9098,8536,8965
35,36,东北大学,辽宁,理工,356.1,131,本科一批,10919,11903,12858,12496,12392,11526,12020
36,37,南京理工大学,江苏,理工,356,613,本科一批,12135,11437,10464,10714,10306,9806,10212
37,38,西安电子科技大学,陕西,理工,355.1,952,本科一批,8421,8491,8715,9354,10654,10122,10915
38,39,兰州大学,甘肃,综合,353.4,535,本科一批,12135,12897,14189,13303,14743,11526,12020
39,40,北京交通大学,北京,理工,349.9,53,本科一批,12135,12396,9020,7555,7688,7677,7763
40,42,华中农业大学,湖北,农业,338.5,437,本科一批,28109,31039,27095,27041,26681,27849,28940
41,43,上海大学,上海,综合,333,770,本科一批,13845,12897,12015,11400,11306,11908,13222
42,44,苏州大学,江苏,综合,327,856,本科一批,13845,14443,13279,12100,14358,12323,12809
43,45,华东理工大学,上海,理工,324.5,428,本科一批,12952,12897,12015,10013,9372,9470,9571
44,46,华中师范大学,湖北,师范,322,438,本科一批,14309,14936,14629,14133,13549,13858,14537
45,47,南京师范大学,江苏,师范,321.3,620,本科一批,16166,18475,16048,15862,16479,18364,21030
46,48,中国地质大学（武汉）,湖北,理工,320.2,1155,本科一批,21866,21581,19118,19586,19244,19367,19429
47,49,东北师范大学,吉林,师范,319.7,136,本科一批,25226,28686,27095,51463,25007,27217,26321
48,50,哈尔滨工程大学,黑龙江,理工,319,252,本科一批,16706,17277,18059,16314,17781,15165,15885
49,51,西南交通大学,四川,理工,318,999,本科一批,16706,14936,18059,20067,13161,13116,12809
50,52,南京农业大学,江苏,农业,316.1,617,本科一批,27341,27959,27764,27642,26681,27217,27001
51,53,郑州大学,河南,综合,312.8,1138,本科一批,23896,24312,24522,23432,22210,23072,22155
52,54,北京邮电大学,北京,理工,312.5,71,本科一批,5337,5463,5342,5348,5119,4881,4817
53,55,武汉理工大学,湖北,理工,312.2,938,本科一批,15229,15517,14189,13303,13161,12323,12381
