,name,batch,2021,2020,2019,2018,2017,2016,2015
0,阿坝师范学院,本科二批,185975,184345,187430,190262,190262,190262,190262
1,安徽财经大学,本科一批,57047,56402,58177,81781,39472,31071,31055
2,安徽大学,本科一批,25226,22973,22024,22847,21699,22540,22155
3,安徽工程大学,本科二批,132697,105494,108397,117903,96438,98426,98426
4,安徽工业大学,本科一批,63644,64188,61214,45525,45681,43820,43618
5,安徽建筑大学,本科一批,68314,72367,83314,83314,83314,83314,83314
6,安徽科技学院,本科二批,295123,113569,113728,120408,101077,100834,100834
7,安徽理工大学,本科一批,61408,59698,63318,64596,43306,39774,38616
8,安徽农业大学,本科二批,263892,104116,103209,105524,98741,102018,102018
9,安徽农业大学,本科一批,85633,102795,102795,102795,102795,102795,102795
10,安徽三联学院,本科二批,268493,268493,268493,268493,268493,268493,268493
11,安徽师范大学,本科一批,51895,52176,53206,69535,69535,69535,69535
12,安徽外国语学院,本科二批,295123,201440,171994,162553,165297,165297,165297
13,安徽文达信息工程学院,本科二批,260851,261238,272463,222903,222903,222903,222903
14,安徽新华学院,本科二批,296564,250424,280520,240874,240874,240874,240874
15,安徽医科大学,本科一批,97392,16139,16048,16721,15197,13858,13675
16,安徽艺术学院,本科二批,203404,203404,203404,203404,203404,203404,203404
17,安徽中医药大学,本科二批,111038,101503,100680,109212,108360,76938,70874
18,安康学院,本科二批,184349,154550,158333,154476,149264,147444,147444
19,安庆师范大学,本科二批,105431,105494,113728,115409,118247,127998,127998
20,安顺学院,本科二批,214734,184345,185877,172231,179649,152681,152681
21,安阳工学院,本科二批,197054,174394,176534,170826,235169,137044,137044
22,安阳工学院,本科一批,116712,116712,116712,116712,116712,116712,116712
23,安阳师范学院,本科二批,154848,143264,150749,147736,142717,143623,143623
24,鞍山师范学院,本科二批,182785,175789,181267,184787,154750,152681,152681
25,白城师范学院,本科二批,192193,184345,185877,176425,173111,163055,163055
26,百色学院,本科二批,185975,181490,185877,198558,198558,198558,198558
27,蚌埠工商学院,本科二批,248295,269150,141960,146450,153391,153391,153391
28,蚌埠医学院,本科二批,129750,122058,152213,94885,91807,75897,66329
29,蚌埠医学院,本科一批,41207,43222,47516,47516,47516,47516,47516
30,宝鸡文理学院,本科二批,153381,128942,133227,133310,133484,161742,161742
