,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,2021rank,name,省市,学校类型,总得分,Unnamed: 0.1.1.1,batch,bp,bp2020,2021,2020,2019,2018,2017,2016,2015
0,0,0,0,1,清华大学,北京,综合,969.2,695,本科一批,86,86.0,83,87,83,88,89,76,72
1,1,1,1,2,北京大学,北京,综合,855.3,41,本科一批,100,98.0,111,107,96,95,103,84,77
2,2,2,2,3,浙江大学,浙江,综合,768.7,1117,本科一批,502,484.0,383,556,496,431,526,486,530
3,3,3,3,4,上海交通大学,上海,综合,723.4,782,本科一批,233,245.0,203,197,194,207,336,150,169
4,4,4,4,5,南京大学,江苏,综合,654.8,607,本科一批,719,724.0,836,705,781,664,730,856,994
5,5,5,5,6,复旦大学,上海,综合,649.7,167,本科一批,279,273.0,227,298,173,230,417,232,243
6,6,6,6,7,中国科学技术大学,安徽,理工,577.0,1159,本科一批,635,637.0,716,627,574,564,776,735,761
7,7,7,7,8,华中科技大学,湖北,综合,574.3,436,本科一批,3720,3756.0,2928,3612,3641,3598,4032,3860,4036
8,8,8,8,9,武汉大学,湖北,综合,567.9,928,本科一批,10432,10481.0,3618,4347,4241,3421,16897,3313,3346
9,9,9,9,10,西安交通大学,陕西,综合,537.9,960,本科一批,2305,2225.0,2928,2546,2783,1863,2030,2018,1912
10,10,10,10,11,哈尔滨工业大学,黑龙江,理工,522.6,253,本科一批,4300,4725.0,3232,3375,4651,6498,3028,2827,2379
11,11,11,11,12,中山大学,广东,综合,519.3,1187,本科一批,4915,4211.0,5586,7026,5342,3421,3873,3682,4234
12,12,13,13,14,四川大学,四川,综合,516.6,838,本科一批,6361,6363.0,6374,6356,6877,5559,6655,6585,7172
13,13,14,14,15,北京航空航天大学,北京,理工,513.8,50,本科一批,2335,2997.0,1046,1159,1275,1146,4722,1148,1200
14,14,15,15,16,同济大学,上海,理工,508.3,903,本科一批,1399,1359.0,1730,1521,1275,1386,1417,1498,1368
15,15,16,702,16,北京大学医学部,北京,医药,,42,本科一批,331,342.0,255,298,296,354,377,279,340
16,16,17,16,17,东南大学,江苏,综合,488.1,142,本科一批,4325,4318.0,4219,4347,4651,3960,4346,4259,4234
17,17,18,17,18,中国人民大学,北京,综合,487.8,1170,本科一批,911,932.0,1290,848,1115,794,889,790,814
18,18,19,18,19,北京理工大学,北京,理工,474.0,56,本科一批,2797,3042.0,2055,2065,2638,2928,3561,3138,3195
19,19,20,19,20,南开大学,天津,综合,465.3,631,本科一批,1882,1870.0,1945,1919,2358,1570,1684,1714,1623
20,20,21,20,21,山东大学,山东,综合,447.0,716,本科一批,9031,9169.0,7501,7724,8715,8141,10654,7409,6917
21,21,22,21,22,天津大学,天津,理工,444.3,880,本科一批,4568,4560.0,4022,4594,4436,4329,4917,4654,4234
22,22,23,22,23,中南大学,湖南,综合,442.2,1183,本科一批,12228,7204.0,9454,34290,7166,6759,7688,7409,7172
23,23,24,23,24,吉林大学,吉林,综合,435.7,454,本科一批,12124,12830.0,11699,11437,10464,11400,15197,10460,10915
24,24,25,24,25,西北工业大学,陕西,理工,430.5,980,本科一批,6492,6537.0,5586,6356,7457,6000,6157,5827,6391
25,25,26,25,26,厦门大学,福建,综合,427.8,708,本科一批,4905,4719.0,4632,5463,5104,4531,4523,3860,4036
26,26,27,26,27,华南理工大学,广东,理工,419.8,431,本科一批,5511,5006.0,5865,7026,5572,4531,4917,4654,4623
27,27,28,27,28,大连理工大学,辽宁,理工,418.2,116,本科一批,8589,8360.0,9067,9274,8715,7555,8813,6071,6391
28,28,29,28,29,华东师范大学,上海,师范,401.8,429,本科一批,5722,5614.0,4428,6046,5572,5348,5925,6071,7172
29,29,30,29,30,中国农业大学,北京,农业,400.4,1169,本科一批,14610,15348.0,11294,12396,22024,13715,10306,9806,10560
30,30,31,30,31,电子科技大学,四川,理工,398.8,127,本科一批,5306,5544.0,4219,4594,4877,5348,6409,6071,7172
31,31,32,31,32,湖南大学,湖南,综合,393.5,391,本科一批,9492,9438.0,9067,9653,11615,8451,8250,7971,8350
32,32,33,32,33,北京科技大学,北京,理工,379.4,54,本科一批,10417,10077.0,12135,11437,10848,10013,9372,8536,8640
33,33,34,33,34,重庆大学,重庆,综合,365.5,1196,本科一批,7632,7480.0,7791,8089,7757,6996,7688,7409,8065
34,34,35,34,35,南京航空航天大学,江苏,理工,358.6,611,本科一批,15514,13790.0,11294,12897,27764,9681,9098,8536,8965
35,35,36,615,35,上海财经大学,上海,财经,,768,本科一批,9096,10424.0,6374,5753,31251,2000,1932,1909,1912
36,36,37,35,36,东北大学,辽宁,理工,356.1,131,本科一批,12412,12581.0,10919,11903,12858,12496,12392,11526,12020
37,37,38,36,37,南京理工大学,江苏,理工,356.0,613,本科一批,10730,10494.0,12135,11437,10464,10714,10306,9806,10212
38,38,39,37,38,西安电子科技大学,陕西,理工,355.1,952,本科一批,9303,9574.0,8421,8491,8715,9354,10654,10122,10915
39,39,40,38,39,兰州大学,甘肃,综合,353.4,535,本科一批,13782,14078.0,12135,12897,14189,13303,14743,11526,12020
40,40,41,39,40,北京交通大学,北京,理工,349.9,53,本科一批,9164,8087.0,12135,12396,9020,7555,7688,7677,7763
41,41,42,40,42,华中农业大学,湖北,农业,338.5,437,本科一批,27963,26938.0,28109,31039,27095,27041,26681,27849,28940
42,42,43,41,43,上海大学,上海,综合,333.0,770,本科一批,11904,11573.0,13845,12897,12015,11400,11306,11908,13222
43,43,44,42,44,苏州大学,江苏,综合,327.0,856,本科一批,13544,13245.0,13845,14443,13279,12100,14358,12323,12809
44,44,45,627,44,中央财经大学,北京,财经,,1188,本科一批,5976,5850.0,9454,6356,6574,7828,3150,2827,2908
45,45,46,43,45,华东理工大学,上海,理工,324.5,428,本科一批,11074,10466.0,12952,12897,12015,10013,9372,9470,9571
46,46,47,717,45,首都医科大学,北京,医药,,836,本科一批,6415,6405.0,16706,9653,4241,7828,7147,8840,5915
47,47,48,44,46,华中师范大学,湖北,师范,322.0,438,本科一批,14311,14103.0,14309,14936,14629,14133,13549,13858,14537
48,48,49,45,47,南京师范大学,江苏,师范,321.3,620,本科一批,14626,16129.0,16166,18475,16048,15862,16479,18364,21030
49,49,50,641,47,对外经济贸易大学,北京,财经,,144,本科一批,27109,24199.0,6374,8900,76393,2652,2627,3138,3346
50,50,51,730,47,南京医科大学,江苏,医药,,626,本科一批,19082,19082.0,10181,19083,19083,19083,19083,19083,19083
51,51,52,46,48,中国地质大学（武汉）,湖北,理工,320.2,1155,本科一批,19882,19315.0,21866,21581,19118,19586,19244,19367,19429
52,52,53,47,49,东北师范大学,吉林,师范,319.7,136,本科一批,33062,38122.0,25226,28686,27095,51463,25007,27217,26321
53,53,54,48,50,哈尔滨工程大学,黑龙江,理工,319.0,252,本科一批,17357,17384.0,16706,17277,18059,16314,17781,15165,15885
54,54,55,49,51,西南交通大学,四川,理工,318.0,999,本科一批,16555,17095.0,16706,14936,18059,20067,13161,13116,12809
55,55,56,50,52,南京农业大学,江苏,农业,316.1,617,本科一批,27511,27362.0,27341,27959,27764,27642,26681,27217,27001
56,56,57,820,52,中国政法大学,北京,政法,,1180,本科一批,6566,6180.0,9815,7724,6574,6252,5717,5116,5915
57,57,58,51,53,郑州大学,河南,综合,312.8,1138,本科一批,23618,23387.0,23896,24312,24522,23432,22210,23072,22155
58,58,59,52,54,北京邮电大学,北京,理工,312.5,71,本科一批,5317,5269.0,5337,5463,5342,5348,5119,4881,4817
59,59,60,53,55,武汉理工大学,湖北,理工,312.2,938,本科一批,14042,13550.0,15229,15517,14189,13303,13161,12323,12381
60,60,61,54,56,中国海洋大学,山东,综合,311.0,1156,本科一批,12637,12717.0,12534,12396,13279,12100,12774,11152,11618
61,61,62,55,57,暨南大学,广东,综合,307.4,477,本科一批,16434,16532.0,15697,16139,21457,14591,13549,12323,11618
62,62,63,56,58,中国石油大学（北京）,北京,理工,307.3,1175,本科一批,19826,19885.0,20081,19649,20850,20067,18740,17427,14962
63,63,64,57,59,北京工业大学,北京,理工,306.0,48,本科一批,11899,11567.0,12952,12897,11615,11056,12032,11908,12809
64,64,65,58,60,河海大学,江苏,理工,303.4,319,本科一批,15840,14962.0,17797,18475,15554,14591,14743,14274,14962
65,65,66,59,61,中国矿业大学,江苏,理工,301.6,1161,本科一批,27728,28140.0,25226,26493,31251,24015,29156,24758,23903
